name,training_dataset,dataset,size,recall
UPerNet,Massachusetts,overall,large,0.6148 ± 0.0331
UPerNet,Massachusetts,overall,medium,0.3639 ± 0.0203
UPerNet,Massachusetts,overall,outlier,0.4190 ± 0.0372
UPerNet,Massachusetts,overall,small,0.2566 ± 0.0243
UPerNet,Massachusetts,overall,very_large,0.5438 ± 0.0306
UPerNet,Massachusetts,tyrol-w,large,0.6924 ± 0.0043
UPerNet,Massachusetts,tyrol-w,medium,0.7077 ± 0.0077
UPerNet,Massachusetts,tyrol-w,outlier,0.4722 ± 0.1273
UPerNet,Massachusetts,tyrol-w,small,0.2714 ± 0.0234
UPerNet,Massachusetts,tyrol-w,very_large,0.5177 ± 0.0325
UPerNet,Massachusetts,vienna,large,0.7208 ± 0.0656
UPerNet,Massachusetts,vienna,medium,0.7087 ± 0.0450
UPerNet,Massachusetts,vienna,outlier,0.3535 ± 0.0358
UPerNet,Massachusetts,vienna,small,0.3010 ± 0.0239
UPerNet,Massachusetts,vienna,very_large,0.4829 ± 0.0524
UPerNet,WHU,Massachusetts,large,0.5012 ± 0.0266
UPerNet,WHU,Massachusetts,medium,0.4455 ± 0.0158
UPerNet,WHU,Massachusetts,outlier,0.5778 ± 0.0111
UPerNet,WHU,Massachusetts,small,0.0918 ± 0.0071
UPerNet,WHU,Massachusetts,very_large,0.5736 ± 0.0088
UPerNet,WHU,WHU Test,large,0.9557 ± 0.0023
UPerNet,WHU,WHU Test,medium,0.9778 ± 0.0005
UPerNet,WHU,WHU Test,outlier,0.9912 ± 0.0152
UPerNet,WHU,WHU Test,small,0.7976 ± 0.0054
UPerNet,WHU,WHU Test,very_large,0.9585 ± 0.0030
UPerNet,WHU,austin,large,0.7680 ± 0.0137
UPerNet,WHU,austin,medium,0.6907 ± 0.0100
UPerNet,WHU,austin,outlier,0.6296 ± 0.0642
UPerNet,WHU,austin,small,0.3925 ± 0.0261
UPerNet,WHU,austin,very_large,0.9136 ± 0.0370
UPerNet,WHU,chicago,large,0.4487 ± 0.0070
UPerNet,WHU,chicago,medium,0.2187 ± 0.0131
UPerNet,WHU,chicago,outlier,0.8788 ± 0.0262
UPerNet,WHU,chicago,small,0.3159 ± 0.0231
UPerNet,WHU,chicago,very_large,0.6234 ± 0.0182
UPerNet,WHU,kitsap,large,0.9507 ± 0.0049
