name,training_dataset,dataset,size,recall
UNet,Massachusetts,WHU Test,small,"0.4958 ± 0.0383 → 0.4361 ± 0.0298 (Δ=-0.0596, t=-4.62, p=0.044)"
UNet,Massachusetts,WHU Test,very_large,"0.8516 ± 0.0119 → 0.8220 ± 0.0388 (Δ=-0.0297, t=-1.82, p=0.211)"
UNet,Massachusetts,austin,large,"0.5830 ± 0.0392 → 0.5020 ± 0.0415 (Δ=-0.0810, t=-1.74, p=0.224)"
UNet,Massachusetts,austin,medium,"0.4939 ± 0.0522 → 0.4086 ± 0.0402 (Δ=-0.0853, t=-1.64, p=0.243)"
UNet,Massachusetts,austin,outlier,"0.6296 ± 0.0642 → 0.2963 ± 0.1697 (Δ=-0.3333, t=-2.60, p=0.122)"
UNet,Massachusetts,austin,small,"0.3374 ± 0.0236 → 0.2471 ± 0.0039 (Δ=-0.0904, t=-7.44, p=0.018)"
UNet,Massachusetts,austin,very_large,"0.7984 ± 0.0377 → 0.7037 ± 0.0864 (Δ=-0.0947, t=-2.41, p=0.137)"
UNet,Massachusetts,chicago,large,"0.4528 ± 0.0466 → 0.4941 ± 0.0850 (Δ=+0.0413, t=0.81, p=0.505)"
UNet,Massachusetts,chicago,medium,"0.1932 ± 0.0418 → 0.2354 ± 0.0717 (Δ=+0.0422, t=1.37, p=0.303)"
UNet,Massachusetts,chicago,outlier,"0.6515 ± 0.0694 → 0.5909 ± 0.1203 (Δ=-0.0606, t=-1.51, p=0.270)"
UNet,Massachusetts,chicago,small,"0.2208 ± 0.0318 → 0.2078 ± 0.0527 (Δ=-0.0130, t=-0.59, p=0.615)"
UNet,Massachusetts,chicago,very_large,"0.6290 ± 0.0255 → 0.6215 ± 0.0370 (Δ=-0.0075, t=-0.35, p=0.762)"
UNet,Massachusetts,kitsap,large,"0.6962 ± 0.0543 → 0.4943 ± 0.1181 (Δ=-0.2020, t=-5.46, p=0.032)"
UNet,Massachusetts,kitsap,medium,"0.4881 ± 0.0167 → 0.3636 ± 0.0637 (Δ=-0.1246, t=-4.56, p=0.045)"
UNet,Massachusetts,kitsap,outlier,"0.0000 ± 0.0000 → 0.0000 ± 0.0000 (Δ=+0.0000, t=nan, p=nan)"
UNet,Massachusetts,kitsap,small,"0.1735 ± 0.0169 → 0.1267 ± 0.0147 (Δ=-0.0468, t=-2.62, p=0.120)"
UNet,Massachusetts,kitsap,very_large,"0.1667 ± 0.0000 → 0.1111 ± 0.0962 (Δ=-0.0556, t=-1.00, p=0.423)"
UNet,Massachusetts,overall,large,"0.6159 ± 0.0323 → 0.5561 ± 0.0214 (Δ=-0.0599, t=-2.01, p=0.183)"
UNet,Massachusetts,overall,medium,"0.3657 ± 0.0342 → 0.3423 ± 0.0395 (Δ=-0.0234, t=-0.82, p=0.498)"
UNet,Massachusetts,overall,outlier,"0.4629 ± 0.0468 → 0.3676 ± 0.0528 (Δ=-0.0952, t=-4.55, p=0.045)"
UNet,Massachusetts,overall,small,"0.2642 ± 0.0137 → 0.2162 ± 0.0214 (Δ=-0.0480, t=-5.16, p=0.036)"
UNet,Massachusetts,overall,very_large,"0.5753 ± 0.0409 → 0.5141 ± 0.0181 (Δ=-0.0612, t=-3.43, p=0.075)"
UNet,Massachusetts,tyrol-w,large,"0.6679 ± 0.0529 → 0.5771 ± 0.0308 (Δ=-0.0909, t=-1.90, p=0.197)"
UNet,Massachusetts,tyrol-w,medium,"0.6991 ± 0.0292 → 0.5661 ± 0.0395 (Δ=-0.1330, t=-3.37, p=0.078)"
UNet,Massachusetts,tyrol-w,outlier,"0.4167 ± 0.1443 → 0.4167 ± 0.0833 (Δ=+0.0000, t=0.00, p=1.000)"
UNet,Massachusetts,tyrol-w,small,"0.3149 ± 0.0252 → 0.1414 ± 0.0394 (Δ=-0.1735, t=-4.77, p=0.041)"
UNet,Massachusetts,tyrol-w,very_large,"0.4504 ± 0.0623 → 0.4149 ± 0.0184 (Δ=-0.0355, t=-0.81, p=0.501)"
UNet,Massachusetts,vienna,large,"0.7521 ± 0.0159 → 0.6956 ± 0.0165 (Δ=-0.0565, t=-3.24, p=0.084)"
UNet,Massachusetts,vienna,medium,"0.7227 ± 0.0012 → 0.6111 ± 0.0348 (Δ=-0.1117, t=-5.42, p=0.032)"
UNet,Massachusetts,vienna,outlier,"0.4242 ± 0.0694 → 0.3308 ± 0.0358 (Δ=-0.0934, t=-3.88, p=0.061)"
UNet,Massachusetts,vienna,small,"0.2925 ± 0.0204 → 0.2358 ± 0.0239 (Δ=-0.0566, t=-2.67, p=0.116)"
UNet,Massachusetts,vienna,very_large,"0.5454 ± 0.0540 → 0.4635 ± 0.0291 (Δ=-0.0818, t=-4.68, p=0.043)"
