name,training_dataset,dataset,under_seg_ratio,over_seg_ratio,avg_under_severity,avg_over_severity
UPerNet,Massachusetts,WHU Test,"0.0859 ± 0.0071 → 0.0868 ± 0.0062 (Δ=+0.0009, t=0.13, p=0.911)","0.0162 ± 0.0034 → 0.0121 ± 0.0011 (Δ=-0.0041, t=-2.44, p=0.135)","1.1974 ± 0.0165 → 1.1690 ± 0.0091 (Δ=-0.0284, t=-2.93, p=0.100)","1.0365 ± 0.0052 → 1.0409 ± 0.0034 (Δ=+0.0044, t=2.23, p=0.156)"
UPerNet,Massachusetts,austin,"0.0615 ± 0.0064 → 0.0373 ± 0.0041 (Δ=-0.0242, t=-6.60, p=0.022)","0.0269 ± 0.0039 → 0.0306 ± 0.0042 (Δ=+0.0037, t=1.62, p=0.248)","1.1942 ± 0.0300 → 1.2169 ± 0.0051 (Δ=+0.0227, t=1.18, p=0.360)","1.0245 ± 0.0087 → 1.0288 ± 0.0164 (Δ=+0.0044, t=0.30, p=0.791)"
UPerNet,Massachusetts,chicago,"0.3176 ± 0.0076 → 0.2535 ± 0.0166 (Δ=-0.0641, t=-7.18, p=0.019)","0.0093 ± 0.0022 → 0.0152 ± 0.0038 (Δ=+0.0059, t=5.96, p=0.027)","1.6313 ± 0.0126 → 1.5566 ± 0.0498 (Δ=-0.0747, t=-2.08, p=0.173)","1.0167 ± 0.0144 → 1.0463 ± 0.0071 (Δ=+0.0296, t=2.69, p=0.115)"
UPerNet,Massachusetts,kitsap,"0.0107 ± 0.0049 → 0.0087 ± 0.0029 (Δ=-0.0020, t=-1.50, p=0.272)","0.0287 ± 0.0112 → 0.0247 ± 0.0043 (Δ=-0.0039, t=-0.49, p=0.673)","1.0000 ± 0.0000 → 1.0000 ± 0.0000 (Δ=+0.0000, t=nan, p=nan)","1.0278 ± 0.0481 → 1.0185 ± 0.0321 (Δ=-0.0093, t=-1.00, p=0.423)"
UPerNet,Massachusetts,overall,"0.1515 ± 0.0064 → 0.1324 ± 0.0084 (Δ=-0.0190, t=-5.75, p=0.029)","0.0249 ± 0.0058 → 0.0269 ± 0.0050 (Δ=+0.0020, t=1.46, p=0.281)","1.5287 ± 0.0170 → 1.4855 ± 0.0367 (Δ=-0.0432, t=-1.45, p=0.285)","1.0522 ± 0.0143 → 1.0615 ± 0.0128 (Δ=+0.0093, t=2.08, p=0.173)"
UPerNet,Massachusetts,tyrol-w,"0.0883 ± 0.0054 → 0.0992 ± 0.0136 (Δ=+0.0109, t=1.91, p=0.197)","0.0290 ± 0.0042 → 0.0264 ± 0.0081 (Δ=-0.0027, t=-0.65, p=0.582)","1.2186 ± 0.0263 → 1.2074 ± 0.0391 (Δ=-0.0111, t=-0.87, p=0.476)","1.0311 ± 0.0123 → 1.0312 ± 0.0035 (Δ=+0.0000, t=0.00, p=0.998)"
UPerNet,Massachusetts,vienna,"0.0404 ± 0.0090 → 0.0373 ± 0.0120 (Δ=-0.0031, t=-1.10, p=0.388)","0.0618 ± 0.0195 → 0.0588 ± 0.0120 (Δ=-0.0030, t=-0.68, p=0.568)","1.1767 ± 0.0545 → 1.1828 ± 0.0430 (Δ=+0.0062, t=0.44, p=0.701)","1.0928 ± 0.0252 → 1.1067 ± 0.0411 (Δ=+0.0139, t=0.88, p=0.471)"
UPerNet,WHU,Massachusetts,"0.1030 ± 0.0083 → 0.0789 ± 0.0140 (Δ=-0.0241, t=-6.31, p=0.024)","0.0136 ± 0.0010 → 0.0115 ± 0.0006 (Δ=-0.0021, t=-2.23, p=0.155)","1.3431 ± 0.0193 → 1.2748 ± 0.0224 (Δ=-0.0683, t=-35.86, p=0.001)","1.0746 ± 0.0159 → 1.0714 ± 0.0346 (Δ=-0.0032, t=-0.11, p=0.923)"
UPerNet,WHU,WHU Test,"0.0240 ± 0.0015 → 0.0213 ± 0.0018 (Δ=-0.0027, t=-2.45, p=0.134)","0.0116 ± 0.0006 → 0.0116 ± 0.0014 (Δ=-0.0000, t=-0.07, p=0.949)","1.0554 ± 0.0010 → 1.0588 ± 0.0047 (Δ=+0.0034, t=1.23, p=0.345)","1.0330 ± 0.0023 → 1.0334 ± 0.0095 (Δ=+0.0003, t=0.07, p=0.951)"
UPerNet,WHU,austin,"0.0326 ± 0.0071 → 0.0244 ± 0.0083 (Δ=-0.0081, t=-1.26, p=0.336)","0.0243 ± 0.0030 → 0.0231 ± 0.0056 (Δ=-0.0012, t=-0.28, p=0.804)","1.1540 ± 0.0237 → 1.1764 ± 0.0184 (Δ=+0.0225, t=1.11, p=0.383)","1.0315 ± 0.0047 → 1.0314 ± 0.0162 (Δ=-0.0001, t=-0.01, p=0.991)"
UPerNet,WHU,chicago,"0.2982 ± 0.0092 → 0.2719 ± 0.0187 (Δ=-0.0263, t=-1.64, p=0.243)","0.0068 ± 0.0005 → 0.0089 ± 0.0030 (Δ=+0.0022, t=1.15, p=0.370)","1.6496 ± 0.0294 → 1.6564 ± 0.0460 (Δ=+0.0068, t=0.16, p=0.886)","1.0532 ± 0.0224 → 1.0402 ± 0.0052 (Δ=-0.0131, t=-1.26, p=0.334)"
UPerNet,WHU,kitsap,"0.0089 ± 0.0039 → 0.0054 ± 0.0013 (Δ=-0.0035, t=-2.16, p=0.163)","0.0066 ± 0.0023 → 0.0054 ± 0.0013 (Δ=-0.0013, t=-1.69, p=0.234)","1.0000 ± 0.0000 → 1.4556 ± 0.2365 (Δ=+0.4556, t=3.34, p=0.079)","1.0000 ± 0.0000 → 1.0000 ± 0.0000 (Δ=+0.0000, t=nan, p=nan)"
UPerNet,WHU,overall,"0.1308 ± 0.0028 → 0.1229 ± 0.0042 (Δ=-0.0080, t=-2.26, p=0.152)","0.0204 ± 0.0010 → 0.0209 ± 0.0028 (Δ=+0.0005, t=0.23, p=0.837)","1.5737 ± 0.0208 → 1.5961 ± 0.0325 (Δ=+0.0224, t=0.73, p=0.540)","1.0530 ± 0.0092 → 1.0508 ± 0.0083 (Δ=-0.0022, t=-0.27, p=0.813)"
UPerNet,WHU,tyrol-w,"0.0509 ± 0.0039 → 0.0433 ± 0.0048 (Δ=-0.0076, t=-2.05, p=0.177)","0.0419 ± 0.0029 → 0.0376 ± 0.0025 (Δ=-0.0043, t=-3.16, p=0.087)","1.1358 ± 0.0205 → 1.1653 ± 0.0043 (Δ=+0.0295, t=2.49, p=0.130)","1.0572 ± 0.0251 → 1.0522 ± 0.0136 (Δ=-0.0051, t=-0.74, p=0.536)"
UPerNet,WHU,vienna,"0.0249 ± 0.0012 → 0.0219 ± 0.0010 (Δ=-0.0029, t=-9.23, p=0.012)","0.0434 ± 0.0037 → 0.0471 ± 0.0054 (Δ=+0.0037, t=0.70, p=0.555)","1.1981 ± 0.0130 → 1.2197 ± 0.0271 (Δ=+0.0216, t=1.74, p=0.225)","1.0704 ± 0.0135 → 1.0717 ± 0.0191 (Δ=+0.0013, t=0.07, p=0.951)"
